Trials,date,week,year,month,day_of_January ,time,period,ampm,location, Temperature,Start_distance,Flock_types,Total_number_birds,Egrets,Ibises,AD,FID
10,2013/1/12,Saturday,2013,January ,12,9:17,8,am,dang river Upstream,0.8,110,2,4,1,3,69,35
7,2013/1/11,Friday,2013,January ,11,9:35,8,am,dang river Upstream,1.4,150,2,3,1,2,61,55
25,2013/1/24,Thursday,2013,January ,24,9:46,8,am,dang river downstream,6.6,90,2,2,1,1,58,36
26,2013/1/24,Thursday,2013,January ,24,9:56,8,am,dang river downstream,6.6,100,2,21,19,2,68,40
37,2013/1/18,Friday,2013,January ,18,9:58,8,am,dang river upstream,7.1,100,1,1,1,0,58,43
7,2013/1/8,Tuesday,2013,January ,8,10:00,10,am,han river,6.3,110,1,10,10,0,59,47
27,2013/1/24,Thursday,2013,January ,24,10:06,10,am,dang river downstream,6.6,100,2,20,19,1,62,50
28,2013/1/24,Thursday,2013,January ,24,10:44,10,am,dang river downstream,9.3,100,2,17,13,4,58,48
33,2013/1/25,Friday,2013,January ,25,10:47,10,am,dang river downstream,8.7,120,2,6,5,1,66,64
39,2013/1/24,Thursday,2013,January ,24,10:50,10,am,dang river downstream,9.3,90,1,7,7,0,56,35
40,2013/1/24,Thursday,2013,January ,24,10:55,10,am,dang river downstream,9.3,100,1,6,6,0,50,29
8,2013/1/8,Tuesday,2013,January ,8,11:00,10,am,han river,6.3,110,1,10,10,0,56,47
41,2013/1/24,Thursday,2013,January ,24,11:00,10,pm,dang river downstream,9.3,100,1,3,3,0,57,32
2,2013/1/4,Friday,2013,January ,4,11:10,10,am,dang river Upstream,3.8,176,1,1,1,0,42,40
20,2013/1/23,Wednesday,2013,January ,23,11:11,10,am,dang river downstream,9.6,110,2,3,1,2,57,41
21,2013/1/23,Wednesday,2013,January ,23,11:21,10,am,dang river downstream,9.6,100,2,2,1,1,66,56
38,2013/1/19,Saturday,2013,January ,19,11:22,10,am,han river,7.4,100,1,1,1,0,66,54
3,2013/1/4,Friday,2013,January ,4,11:25,10,am,dang river Upstream,8,100,1,1,1,0,54,44
45,2013/1/25,Friday,2013,January ,25,11:28,10,am,dang river downstream,11.4,95,1,1,1,0,50,46
1,2013/1/8,Tuesday,2013,January ,8,11:30,10,am,han river,4.5,120,2,8,7,1,69,57
17,2013/1/22,Tuesday,2013,January ,22,11:30,10,am,yi shui river,11,135,2,4,1,3,69,37
46,2013/1/25,Friday,2013,January ,25,11:30,10,am,dang river downstream,11.4,85,1,1,1,0,59,53
22,2013/1/23,Wednesday,2013,January ,23,11:31,10,am,dang river downstream,9.6,100,2,3,1,2,69,65
5,2013/1/7,Monday,2013,January ,7,11:38,10,am,dang river Upstream,4.7,90,1,1,1,0,50,39
18,2013/1/22,Tuesday,2013,January ,22,12:00,12,pm,dang river downstream,12.5,120,2,3,1,2,67,41
4,2013/1/4,Friday,2013,January ,4,12:19,12,pm,dang river Upstream,10,123,1,1,1,0,73,68
15,2013/1/21,Monday,2013,January ,21,12:21,12,pm,dang river downstream,8.7,137,2,3,1,2,67,42
16,2013/1/21,Monday,2013,January ,21,12:21,12,pm,dang river downstream,9.5,100,2,3,1,2,83,55
3,2013/1/9,Wednesday,2013,January ,9,12:44,12,pm,han river,8.4,100,2,3,1,2,60,43
11,2013/1/8,Tuesday,2013,January ,8,13:10,12,pm,yi shui river,7.2,200,1,2,2,0,72,50
12,2013/1/8,Tuesday,2013,January ,8,13:49,12,pm,yi shui river,7.2,150,1,7,7,0,69,54
2,2013/1/8,Tuesday,2013,January ,8,14:07,14,pm,han river,4.5,150,2,2,1,1,78,62
13,2013/1/8,Tuesday,2013,January ,8,14:21,14,pm,yi shui river,7.2,150,1,4,4,0,59,43
35,2013/1/16,Wednesday,2013,January ,16,14:31,14,pm,dang river downstream,10.3,110,1,1,1,0,40,34
14,2013/1/10,Thursday,2013,January ,10,14:50,14,pm,dang river downstream,7.2,125,1,1,1,0,80,74
4,2013/1/10,Thursday,2013,January ,10,15:14,14,pm,dang river downstream,12.6,125,2,3,1,2,63,43
6,2013/1/7,Monday,2013,January ,7,15:20,14,pm,dang river downstream,7.3,80,1,1,1,0,40,28
25,2013/1/12,Saturday,2013,January ,12,15:46,14,pm,yi shui river,9.7,88,1,1,1,0,68,62
11,2013/1/12,Saturday,2013,January ,12,15:46,14,pm,yi shui river,9.7,100,2,7,1,6,76,55
13,2013/1/18,Friday,2013,January ,18,15:48,14,pm,dang river Upstream,10,95,2,2,1,1,68,52
19,2013/1/22,Tuesday,2013,January ,22,15:51,14,pm,dang river downstream,14.7,110,2,5,1,4,72,62
22,2013/1/11,Friday,2013,January ,11,16:00,16,pm,han river,5.6,90,1,1,1,0,56,46
47,2013/1/25,Friday,2013,January ,25,16:00,16,pm,dang river downstream,14.1,90,1,1,1,0,47,29
5,2013/1/10,Thursday,2013,January ,10,16:04,16,pm,han river,12.6,125,2,2,1,1,86,76
14,2013/1/18,Friday,2013,January ,18,16:16,16,pm,dang river Upstream,11.4,100,2,3,1,2,60,53
30,2013/1/15,Tuesday,2013,January ,15,16:20,16,pm,dang river downstream,14.4,90,1,1,1,0,68,61
15,2013/1/10,Thursday,2013,January ,10,16:20,16,pm,dang river downstream,12.6,90,1,1,1,0,65,60
16,2013/1/10,Thursday,2013,January ,10,16:20,16,pm,han river,12.6,100,1,1,1,0,61,55
17,2013/1/10,Thursday,2013,January ,10,16:25,16,pm,han river,12.6,120,1,1,1,0,58,50
18,2013/1/10,Thursday,2013,January ,10,16:30,16,pm,han river,12.6,80,1,1,1,0,57,48
6,2013/1/10,Thursday,2013,January ,10,16:30,16,pm,han river,12.6,110,2,2,1,1,75,46
8,2013/1/11,Friday,2013,January ,11,16:30,16,pm,han river,13.9,120,2,2,1,1,66,48
19,2013/1/10,Thursday,2013,January ,10,16:35,16,pm,han river,12.6,80,1,1,1,0,64,60
36,2013/1/16,Wednesday,2013,January ,16,16:40,16,pm,han river,12.4,140,1,1,1,0,62,52
20,2013/1/10,Thursday,2013,January ,10,16:40,16,pm,han river,12.6,110,1,1,1,0,72,56
9,2013/1/11,Friday,2013,January ,11,16:40,16,pm,han river,13.9,120,2,2,1,1,69,47
21,2013/1/10,Thursday,2013,January ,10,16:45,16,pm,han river,12.6,120,1,1,1,0,66,54
26,2013/1/12,Saturday,2013,January ,12,16:45,16,pm,han river,12.3,135,1,1,1,0,68,65
23,2013/1/11,Friday,2013,January ,11,16:50,16,pm,han river,13.9,100,1,1,1,0,58,54
27,2013/1/12,Saturday,2013,January ,12,16:50,16,pm,han river,12.3,94,1,1,1,0,72,63
28,2013/1/12,Saturday,2013,January ,12,16:55,16,pm,han river,12.3,94,1,1,1,0,65,57
12,2013/1/15,Tuesday,2013,January ,15,16:56,16,pm,dang river downstream,13.5,115,2,3,1,2,70,35
29,2013/1/12,Saturday,2013,January ,12,17:00,16,pm,han river,12.3,105,1,1,1,0,60,51
29,2013/1/24,Thursday,2013,January ,24,17:05,16,pm,dang river downstream,14.4,115,2,2,1,1,67,57
24,2013/1/11,Friday,2013,January ,11,17:10,16,pm,han river,13.9,88,1,1,1,0,56,54
