Trials,proportion_foraging,proportion_scan,Rate_searching,Rate_peck,Rate_scan,Rate_found_food,pecking_successful,ND_egret_egret,ND_egret_ibis,distance_nearest _flock_mate,step_egrets,capture_foods_steps,pecking_steps,average_searching_boudur,avg_scan_boutdur,Temperature,Distance_to_Road,Total_number_birds,Habitats,Group_types,year,month,week,date,day_of_study,ampm,time,period,location
62,0.983483,0.0163693,1.1881,0.99008,0.990079,0.396032,0.4,NA,9.13 ,9.13 ,9,22.72543633,9.090174531,49.6669,0.991999628,8.7,50,2,river,2,2012_2013,January,Monday,2013/1/21,19,pm,12:21,12,an_feng
73,0.996553,0.00316893,1.13176,0.226353,0.905411,0,0,NA,2.02 ,2.02 ,9,NA,39.76090443,52.832,0.209999437,7.2,140,5,river,2,2012_2013,January,Tuesday,2013/1/8,6,am,10:20,10,han_river
76,0.99509,0.00350708,0.701416,0.175354,0.526062,0,0,3.94 ,2.43 ,2.43 ,9,NA,51.32474879,85.1213,0.4,7.2,80,4,river,2,2012_2013,January,Wednesday,2013/1/9,7,pm,12:25,12,han_river
78,0.984596,0.0129941,1.27811,0.639056,0.958584,0.319528,0.5,NA,1.82 ,1.82 ,9,28.16654565,14.08327283,46.2213,0.813330913,12.6,20,3,river,2,2012_2013,January,Thursday,2013/1/10,8,pm,15:14,14,han_river
71,0.966299,0.0337013,1.74317,1.743173,1.30738,0.435793,0.249999857,NA,9.36 ,9.36 ,10,22.94667422,5.736665265,33.26,1.546664321,11,25,2,river,2,2011_2012,April,Friday,2012/4/20,125,am,8:50,8,dang_river_Upstream
74,0.996723,0.000297924,0.446886,0.223443,0.223443,0,0,NA,2.62 ,2.62 ,10,NA,44.75414311,133.822,0.08,7.2,140,3,river,2,2012_2013,January,Tuesday,2013/1/8,6,am,10:40,10,han_river
79,0.972563,0.0273372,0.841146,1.472006,0.63086,0.841146,0.571428377,NA,3.55 ,3.55 ,10,11.88854254,6.79345057,69.3742,2.599993659,12.7,30,3,river,2,2012_2013,January,Thursday,2013/1/10,8,pm,16:36,16,han_river
82,0.975337,0.0206169,1.09148,0.363828,0.727656,0,0,NA,2.04 ,2.04 ,10,NA,27.48551513,53.6153,1.699998351,7.1,30,3,river,2,2012_2013,January,Tuesday,2013/1/22,20,am,11:20,10,dang_river_downstream
54,0.996254,0.00352569,1.65267,0.165267,1.4874,0,0,NA,1.63 ,1.63 ,12,NA,72.60977691,36.1689,0.142222267,8,90,2,river,2,2012_2013,January,Tuesday,2013/1/8,6,am,11:30,10,han_river
85,0.993906,0.00219208,0.876834,0.219209,0.438417,0,0,7.66 ,3.34 ,3.34 ,13,NA,59.30413441,68.011,0.299999316,9,15,6,river,2,2012_2013,January,Friday,2013/1/25,23,am,11:21,10,dang_river_downstream
87,0.98115,0.000950405,1.18801,0.950404,0.712804,0.475202,0.5,NA,3.99 ,3.99 ,14,29.46115547,14.73057773,49.5528,0.079999972,8.1,25,3,river,2,2011_2012,December,Thursday,2011/12/22,1,am,10:02,10,dong_lian
90,0.994489,0.00389831,0.806546,1.411457,0.60491,0.201637,0.142857345,NA,4.28 ,4.28 ,14,69.43170152,9.918828558,73.9813,0.386666777,15,20,3,river,2,2011_2012,March,Tuesday,2012/3/20,100,am,9:34,8,yi_shui_river
67,0.997014,0.0025289,1.08382,11.92197,0.541908,4.87717,0.409090947,NA,5.69 ,5.69 ,17,3.485627936,1.425938834,55.1947,0.279999557,5,35,2,Paddy_field,2,2011_2012,January,Wednesday,2012/1/4,8,pm,13:17,12,huang_jia_ying
86,0.991534,0.00665147,1.81404,1.133774,1.58728,0.45351,0.400000353,NA,2.44 ,2.44 ,17,37.48539172,14.99416991,32.7954,0.251428985,15,25,3,river,2,2011_2012,March,Tuesday,2012/3/20,100,am,9:11,8,huai_shu_guang
70,0.916478,0.0834459,1.42778,0.634569,1.26914,0.158642,0.249999606,NA,3.28 ,3.28 ,18,113.4630174,28.36570964,38.5134,3.9449974,12,20,2,river,2,2011_2012,April,Sunday,2012/4/15,120,pm,12:26,12,han_river
84,0.994905,0.00339654,0.92633,0.694747,0.694747,0.463165,0.666667146,NA,3.83 ,3.83 ,18,38.86304017,25.90871209,64.4417,0.293333257,8,65,4,river,2,2012_2013,January,Friday,2013/1/25,23,pm,16:48,16,yi_shui_river
35,0.937794,0.0619136,2.62841,7.44715,2.19034,6.13295,0.823529807,NA,NA,NA,19,3.098019713,2.551311576,21.4075,1.695999708,11,60,1,Paddy_field,1,2011_2012,December,Wednesday,2011/12/21,10,am,10:13,10,huai_shu_guang
75,0.992635,0.00345212,1.38085,0.690424,1.03564,0.345212,0.5,2.52 ,2.14 ,4.66 ,20,57.9354136,28.9677068,43.1315,0.199999228,7.2,80,6,river,2,2012_2013,January,Tuesday,2013/1/8,6,pm,11:10,10,han_river
80,0.998238,0.0017621,0.660788,0,0.440525,0,NA,NA,2.28 ,2.28 ,20,NA,NA,90.6407,0.24,12,45,3,river,2,2012_2013,January,Wednesday,2013/1/16,14,pm,14:31,14,han_river
89,0.969201,0.00668779,1.31996,0.263992,1.05597,0.263992,1,NA,3.39 ,3.39 ,20,75.75987151,75.75987151,44.056,0.379998864,11.1,35,4,Paddy_field,2,2011_2012,December,Thursday,2011/12/22,1,pm,12:31,12,dong_lian
63,0.991908,0.00801634,1.0366,0.414638,0.829276,0,0,NA,5.12 ,5.12 ,21,NA,50.64658811,57.4134,0.580000386,9.6,50,2,river,2,2012_2013,January,Friday,2013/1/25,23,am,10:02,10,dong_lian
64,0.991759,0.00807004,1.10046,0,0.73364,0,NA,NA,3.59 ,3.59 ,21,NA,NA,54.0733,0.66,6.6,35,2,river,2,2012_2013,January,Friday,2013/1/25,23,pm,16:20,16,dang_river_downstream
26,0.961579,0.0367436,2.01335,0.755005,2.01335,0,0,NA,NA,NA,22,NA,29.13887987,28.6561,1.094998882,12.7,30,1,river,1,2012_2013,January,Tuesday,2013/1/15,13,pm,17:09,16,han_river
28,0.997556,0.00232456,0.615326,0.410218,0.410217,0.205109,0.5,NA,NA,NA,22,107.2600422,53.63002111,97.2711,0.339999561,7.1,30,1,river,1,2012_2013,January,Friday,2013/1/18,16,am,10:17,10,dang_river_Upstream
30,0.966117,0.0337548,1.7261,1.534312,1.53431,0.767156,0.5,NA,NA,NA,22,28.67734854,14.33867427,33.5827,1.319999218,12.5,30,1,Paddy_field,1,2011_2012,December,Wednesday,2011/12/28,7,am,11:23,10,xie_cun
